Round,Bet,Total Bets,Profit/Loss,Win Status,Roulette Result
1,20,10,-10,Lost,22 (Black)
2,40,30,-30,Lost,0 (Green)
3,80,70,-70,Lost,8 (Black)
4,10,150,10,Won,21 (Red)
5,10,160,20,Won,27 (Red)
6,10,170,30,Won,29 (Red)
7,10,180,40,Won,15 (Red)
8,10,190,50,Won,25 (Red)
9,10,200,60,Won,23 (Red)
10,20,210,50,Lost,14 (Black)
11,40,230,30,Lost,30 (Black)
12,10,270,70,Won,5 (Red)
13,20,280,60,Lost,36 (Black)
14,10,300,80,Won,35 (Red)
15,10,310,90,Won,31 (Red)
16,10,320,100,Won,19 (Red)
17,10,330,110,Won,15 (Red)
18,20,340,100,Lost,8 (Black)
19,10,360,120,Won,13 (Red)
20,10,370,130,Won,1 (Red)
21,10,380,140,Won,17 (Red)
22,20,390,130,Lost,6 (Black)
23,10,410,150,Won,21 (Red)
24,10,420,160,Won,25 (Red)
25,20,430,150,Lost,14 (Black)
26,40,450,130,Lost,18 (Black)
27,10,490,170,Won,23 (Red)
28,20,500,160,Lost,2 (Black)
29,10,520,180,Won,35 (Red)
30,20,530,170,Lost,37 (Green (00))
31,10,550,190,Won,17 (Red)
32,10,560,200,Won,19 (Red)
33,20,570,190,Lost,36 (Black)
34,40,590,170,Lost,2 (Black)
35,80,630,130,Lost,37 (Green (00))
36,10,710,210,Won,21 (Red)
37,20,720,200,Lost,6 (Black)
38,40,740,180,Lost,4 (Black)
39,80,780,140,Lost,12 (Black)
40,10,860,220,Won,13 (Red)
41,10,870,230,Won,31 (Red)
42,10,880,240,Won,1 (Red)
43,10,890,250,Won,35 (Red)
44,20,900,240,Lost,14 (Black)
45,10,920,260,Won,5 (Red)
46,20,930,250,Lost,16 (Black)
47,10,950,270,Won,23 (Red)
48,20,960,260,Lost,28 (Black)
49,40,980,240,Lost,32 (Black)
50,10,1020,280,Won,9 (Red)
51,20,1030,270,Lost,28 (Black)
52,10,1050,290,Won,19 (Red)
53,10,1060,300,Won,31 (Red)
54,20,1070,290,Lost,18 (Black)
55,40,1090,270,Lost,22 (Black)
56,10,1130,310,Won,19 (Red)
57,10,1140,320,Won,1 (Red)
58,10,1150,330,Won,31 (Red)
59,10,1160,340,Won,33 (Red)
60,20,1170,330,Lost,0 (Green)
61,10,1190,350,Won,33 (Red)
62,20,1200,340,Lost,34 (Black)
63,40,1220,320,Lost,30 (Black)
64,10,1260,360,Won,25 (Red)
65,20,1270,350,Lost,24 (Black)
66,10,1290,370,Won,7 (Red)
67,10,1300,380,Won,21 (Red)
68,20,1310,370,Lost,37 (Green (00))
69,10,1330,390,Won,29 (Red)
70,20,1340,380,Lost,14 (Black)
71,10,1360,400,Won,5 (Red)
72,10,1370,410,Won,29 (Red)
73,20,1380,400,Lost,30 (Black)
74,10,1400,420,Won,17 (Red)
75,10,1410,430,Won,27 (Red)
76,10,1420,440,Won,19 (Red)
77,10,1430,450,Won,29 (Red)
78,20,1440,440,Lost,10 (Black)
79,10,1460,460,Won,29 (Red)
80,20,1470,450,Lost,37 (Green (00))
81,10,1490,470,Won,5 (Red)
82,20,1500,460,Lost,2 (Black)
83,10,1520,480,Won,19 (Red)
84,20,1530,470,Lost,18 (Black)
85,40,1550,450,Lost,30 (Black)
86,10,1590,490,Won,19 (Red)
87,10,1600,500,Won,23 (Red)
88,10,1610,510,Won,21 (Red)
89,10,1620,520,Won,27 (Red)
90,20,1630,510,Lost,28 (Black)
91,10,1650,530,Won,27 (Red)
92,20,1660,520,Lost,18 (Black)
93,10,1680,540,Won,17 (Red)
94,20,1690,530,Lost,2 (Black)
95,10,1710,550,Won,23 (Red)
96,10,1720,560,Won,29 (Red)
97,10,1730,570,Won,9 (Red)
98,20,1740,560,Lost,22 (Black)
99,10,1760,580,Won,29 (Red)
100,20,1770,570,Lost,18 (Black)
101,10,1790,590,Won,19 (Red)
102,10,1800,600,Won,19 (Red)
103,10,1810,610,Won,5 (Red)
104,20,1820,600,Lost,18 (Black)
105,10,1840,620,Won,31 (Red)
106,20,1850,610,Lost,22 (Black)
107,40,1870,590,Lost,6 (Black)
108,10,1910,630,Won,1 (Red)
109,10,1920,640,Won,33 (Red)
110,20,1930,630,Lost,4 (Black)
111,10,1950,650,Won,13 (Red)
112,20,1960,640,Lost,36 (Black)
113,10,1980,660,Won,35 (Red)
114,20,1990,650,Lost,2 (Black)
115,40,2010,630,Lost,10 (Black)
116,10,2050,670,Won,21 (Red)
117,10,2060,680,Won,25 (Red)
118,10,2070,690,Won,21 (Red)
119,20,2080,680,Lost,18 (Black)
120,40,2100,660,Lost,24 (Black)
121,10,2140,700,Won,1 (Red)
122,20,2150,690,Lost,24 (Black)
123,40,2170,670,Lost,14 (Black)
124,10,2210,710,Won,35 (Red)
125,10,2220,720,Won,21 (Red)
126,20,2230,710,Lost,26 (Black)
127,40,2250,690,Lost,16 (Black)
128,10,2290,730,Won,19 (Red)
129,10,2300,740,Won,13 (Red)
130,20,2310,730,Lost,30 (Black)
131,10,2330,750,Won,5 (Red)
132,20,2340,740,Lost,4 (Black)
133,10,2360,760,Won,9 (Red)
134,20,2370,750,Lost,10 (Black)
135,10,2390,770,Won,7 (Red)
136,20,2400,760,Lost,0 (Green)
137,10,2420,780,Won,31 (Red)
138,20,2430,770,Lost,32 (Black)
139,10,2450,790,Won,5 (Red)
140,20,2460,780,Lost,8 (Black)
141,10,2480,800,Won,23 (Red)
142,10,2490,810,Won,25 (Red)
143,10,2500,820,Won,1 (Red)
144,20,2510,810,Lost,32 (Black)
145,40,2530,790,Lost,4 (Black)
146,80,2570,750,Lost,22 (Black)
147,160,2650,670,Lost,8 (Black)
148,320,2810,510,Lost,16 (Black)
149,10,3130,830,Won,29 (Red)
150,10,3140,840,Won,15 (Red)
151,10,3150,850,Won,27 (Red)
152,20,3160,840,Lost,22 (Black)
153,40,3180,820,Lost,34 (Black)
154,80,3220,780,Lost,10 (Black)
155,10,3300,860,Won,11 (Red)
156,10,3310,870,Won,21 (Red)
157,10,3320,880,Won,29 (Red)
158,10,3330,890,Won,15 (Red)
159,20,3340,880,Lost,30 (Black)
160,40,3360,860,Lost,0 (Green)
161,80,3400,820,Lost,6 (Black)
162,10,3480,900,Won,1 (Red)
163,20,3490,890,Lost,32 (Black)
164,40,3510,870,Lost,4 (Black)
165,10,3550,910,Won,29 (Red)
166,20,3560,900,Lost,6 (Black)
167,40,3580,880,Lost,2 (Black)
168,80,3620,840,Lost,10 (Black)
169,10,3700,920,Won,17 (Red)
170,10,3710,930,Won,25 (Red)
171,20,3720,920,Lost,26 (Black)
172,10,3740,940,Won,5 (Red)
173,10,3750,950,Won,5 (Red)
174,10,3760,960,Won,25 (Red)
175,20,3770,950,Lost,2 (Black)
176,10,3790,970,Won,5 (Red)
177,20,3800,960,Lost,37 (Green (00))
178,10,3820,980,Won,3 (Red)
179,20,3830,970,Lost,26 (Black)
180,40,3850,950,Lost,12 (Black)
181,80,3890,910,Lost,16 (Black)
182,10,3970,990,Won,17 (Red)
183,20,3980,980,Lost,32 (Black)
184,40,4000,960,Lost,34 (Black)
185,80,4040,920,Lost,8 (Black)
186,160,4120,840,Lost,16 (Black)
187,10,4280,1000,Won,23 (Red)
188,20,4290,990,Lost,28 (Black)
189,10,4310,1010,Won,11 (Red)
190,20,4320,1000,Lost,37 (Green (00))
191,10,4340,1020,Won,27 (Red)
192,20,4350,1010,Lost,6 (Black)
193,40,4370,990,Lost,8 (Black)
194,80,4410,950,Lost,22 (Black)
195,160,4490,870,Lost,34 (Black)
196,10,4650,1030,Won,5 (Red)
197,10,4660,1040,Won,33 (Red)
198,20,4670,1030,Lost,2 (Black)
199,40,4690,1010,Lost,24 (Black)
200,80,4730,970,Lost,2 (Black)
